geoid,2000_2006,2007_2024,2010_2015
010730024003,4,4,0
010730024004,0,0,0
010730024005,0,0,0
010730024006,0,2,
010730027001,5,25,2
010730027003,0,6,1
010730029001,0,2,2
010730029002,0,2,0
010730029003,0,15,0
010730030011,0,3,0
010730030012,1,4,1
010730030013,0,1,
010730030014,1,5,1
010730030021,,0,
010730030022,,0,0
010730030023,1,6,0
010730031001,0,2,0
010730031002,,1,0
010730031003,0,2,0
010730031004,0,3,0
010730031005,0,2,0
010730032001,2,10,2
010730032002,0,1,0
010730033001,0,4,0
010730033002,2,7,2
010730034001,3,17,2
010730034002,1,3,0
010730034003,0,2,0
010730034004,0,0,0
010730035001,0,2,2
010730035002,1,10,2
010730035003,1,3,2
010730036001,0,1,0
010730036004,0,,
010730036005,0,3,0
010730036006,0,3,0
010730037001,2,3,0
010730037002,0,3,1
010730037003,,0,
010730037004,0,1,0
010730038021,1,4,0
010730038022,2,1,0
010730038023,0,6,1
010730038024,0,0,0
010730038031,0,2,0
010730038032,1,3,0
010730038033,0,1,0
010730038034,0,1,0
010730039001,0,15,0
010730040001,1,3,0
010730040002,0,0,0
010730040003,1,7,1
010730040004,,0,0
010730042001,2,5,0
010730042002,1,11,1
010730042003,0,0,0
